일자,금융투자,보험,투신,사모,은행,기타금융,연기금 등,기타법인,개인,외국인,기타외국인,전체
2018.12.28,85337535622,-2511712270,12139008597,-32559335540,-26528751269,-1378438105,10331570750,-11944231095,-39032545000,6128998795,17899515,0
2018.12.27,-1.4813E+11,43914664305,1.53616E+11,-14045720495,-42809991415,-4420272520,28012983510,5080408005,-14121557910,-7167473260,70768145,0
2018.12.26,-29588657803,-18150538605,-12614177297,61287813380,-13658369545,-23375742610,24368914380,3319122070,29794842125,-21565771805,182565710,0
2018.12.24,5.91463E+11,36562190405,-52254190915,15455484690,-31727400470,-3190260740,8357409004,-2170721230,8166817745,-5.70599E+11,-63176175,0
2018.12.21,81662192824,-14635947430,27692624775,5480808540,-3379825524,2451515475,-26415267875,-1197458430,9532094500,-81341637070,150900215,0
2018.12.20,2.47961E+11,20516023190,-76011588515,199388030,1845213985,-1639174015,27701527855,-3878508185,-14558174760,-2.01253E+11,-882668120,0
2018.12.19,-34632951940,-8187570120,82537842695,6923357185,-14423207615,748582650,-38753108235,-451646265,-5223702580,11431988875,30415350,0
2018.12.18,1.66235E+11,18252158380,-24513269015,-14447456000,-871368290,-1360359765,-644012625,2202380550,14645909660,-1.60572E+11,1072630790,0
2018.12.17,-59766890320,8142858080,67127584345,-1091195665,-5671398450,0,-9740132385,9382569000,-1737295675,-6689170455,43071525,0
2018.12.14,1.04437E+11,65883661390,-34613363440,-38046035910,5784991780,-92373235,-15200717745,213847020,20047823560,-1.08041E+11,-374411975,0
2018.12.13,3.28599E+11,62295902400,-87281509655,-42047827020,-12672764560,-538034415,-37712240,-2335442485,-13123830720,-2.33039E+11,180874125,0
2018.12.12,1.22425E+11,12287678670,7761874320,-64778698815,-2521136055,144988245,11681848295,-12853073705,-15655612735,-58443648245,-49629980,0
2018.12.11,2.65186E+11,-13694031790,1.16761E+11,-20431609305,-1094775115,-71552420,36120163855,268891165,2300449670,-3.8534E+11,-3970840,0
2018.12.10,9278118875,15017291495,-35056030755,-33714463195,1317100175,5848208330,14815505355,-2001983380,2634930385,21733117915,128204800,0
2018.12.7,96230369245,4224268190,1.02621E+11,-60030849565,7870353815,564345950,342185380,-4258099130,-29926210210,-1.17507E+11,-130913875,0
2018.12.6,1.39574E+11,21413112585,-38240582800,-8469163455,7841432275,-676451780,-16888530210,-4152965325,55421088495,-1.55512E+11,-309951130,0
2018.12.5,44205711775,-11673850285,36011370260,10878573735,2552055280,2332694375,-27258975290,-589911915,20358881225,-76868126495,51577335,0
2018.12.4,1.14643E+11,20412286400,-74055931070,-6810937740,3704451465,-56260415,-34312952355,1479784455,39147899120,-64130070365,-21709725,0
2018.12.3,1.86584E+11,-11706571560,7422283690,-4548456470,-5269344315,488295300,24391431245,-551443010,-54632429335,-1.42138E+11,-39661035,0
2018.11.30,2.69532E+11,8476981610,49353763525,4932733045,-3.33672E+11,-84697400,13641116470,-1669029915,-1148196865,-9510828700,148103345,0
2018.11.29,35816940965,-6298518660,795595915,-24427308205,-1758325420,1132577000,6145386995,6417202520,7602286740,-25308790990,-117046860,0
2018.11.28,1.2816E+11,-5252456120,-48973091960,2145365640,-3742661610,-88547305,12624003325,-1594514225,-13830661780,-69452064515,4902740,0
2018.11.27,1.47913E+11,676241625,-1.00481E+11,-13065220750,-3168334610,-3113280000,2635077620,1037037375,-10272016655,-22306068405,144487435,0
2018.11.26,-43666807508,6528355730,1.08693E+11,-1793385965,-299379467,-2387801190,-1160991370,-498454185,-20323674115,-45245879625,154997660,0
2018.11.23,-12888601617,9743675820,-84904913695,8890226530,1.0992E+11,2587788170,9590939695,-144022900,4067353210,-46731584970,-130629810,0
2018.11.22,-17822304440,6788827645,53723637805,3599311285,-546920290,-210228990,8269127955,5696519085,1634707120,-61149958035,17280860,0
2018.11.21,74451420000,10993018365,-61812942490,6861834610,-17762067920,749824165,941017235,15399780620,-8961375890,-21005635970,145127275,0
2018.11.20,-31988924525,16111251850,30937537335,-16159793675,693548835,0,-4577626325,-426269040,26509538845,-21308835395,209572095,0
2018.11.19,-4260795410,24678100,-84964341265,7185627195,1445435195,-5121721390,1.13817E+11,-2919723435,-19432300430,-5731205585,-42319410,0
2018.11.16,-6857190945,-10662481380,29353607170,-8584978345,-347937720,453918450,27765464455,693451705,-17925869305,-13659481535,-228502550,0
2018.11.15,67362949830,12967446775,-26881986795,1991850535,-458294700,342574980,-22799549360,4703313230,10027010290,-47262226355,6911570,0
2018.11.14,-1.2284E+11,16514874705,67865580745,13586234400,-424761855,-172149205,12970914245,-1670826960,14322196170,-88622615,-63826075,0
2018.11.13,51723040010,10926507500,26491042995,22471650500,-94819381950,819686340,-3403321130,2170477395,3073802365,-19595980845,142476820,0
