일자,금융투자,보험,투신,사모,은행,기타금융,연기금 등,기타법인,개인,외국인,기타외국인,전체
2021.12.30,4208825710,-25268430165,38052138240,20414866480,-3403925235,-433566280,206555895,-141654440,-64861544375,30067419010,1159315160,0
2021.12.29,48895467195,-38460363855,65561046195,9101554795,-25674960030,-6596308275,248301705,-6235390485,-83537531795,38358581525,-1660396975,0
2021.12.28,-1.52175E+11,14618498645,53071361400,14903226060,-52132069785,2952740285,10492583215,-6033119935,1.43599E+11,-28802997690,-494190550,0
2021.12.27,1.56785E+11,-9579274925,-62490605685,19582228275,-22449405,2732688880,394971425,873755115,69493976515,-1.77718E+11,-52554280,0
2021.12.24,-13767132925,-16920332685,-52137087155,-1701902695,-14340468820,-1700219455,-6788714725,-1824777180,1.33405E+11,-24998979180,774666510,0
2021.12.23,-95757948210,-27652057600,40818431365,1723934800,-2292871315,-570697530,-1463094780,10569181420,78480811400,-4271906230,416216680,0
2021.12.22,1.02053E+11,-22317083275,-31264478170,10457993435,-1725598295,-1116288185,-340568640,766633545,63003089370,-1.1992E+11,402789070,0
2021.12.21,-32698536074,-2258282766,50559217250,-15735569425,19247217410,-1282145960,-11382244000,-3574775485,-23296193030,20470410420,-49098340,0
2021.12.20,1.2296E+11,7615507330,-7875349230,-1238874055,12852796690,834226440,-2721306515,-5865114500,72293269665,-1.99009E+11,154696995,0
2021.12.17,-1.87036E+11,1660407260,42627957690,6970832475,15781128250,-145411925,-1044641375,2541778185,2.32762E+11,-1.15044E+11,925631130,0
2021.12.16,-36805611320,9784723170,-1.01545E+11,-524208355,8985879720,-38762980,-1353835305,-824805595,-4540682390,1.26677E+11,184838405,0
2021.12.15,-50821139895,-3106283155,49342193335,733977285,23966340100,-52297570,-939074460,-1114300020,42649243740,-60939407705,280748345,0
2021.12.14,-1.04651E+11,739487575,-58863725180,1019921275,39416111825,32534160,-1400099250,-200212165,66722652040,57126517530,57838035,0
2021.12.13,62966989370,-6598278405,18537148590,5078550790,6239236005,-664017470,-9921774425,-1606116770,21653063355,-95823639560,138838520,0
2021.12.10,-16953316649,1296092515,50531197470,-9665039765,23613242295,-736943945,-3595766920,2212245185,34748156235,-81841305976,391439555,0
2021.12.9,29570687615,-37933304640,-51710419845,-891220560,-5268955095,-4054438540,-3978905085,7011573450,79869372150,-12883629225,269239775,0
2021.12.8,-71926804570,-19447183300,-20543727125,-1970201780,-29539979535,-1134223980,-19355371705,27701679115,7352715030,1.28067E+11,795797100,0
2021.12.7,-2.08562E+11,-5917924133,844258270,-6593230610,29984366190,-313729950,-62551930075,19849822930,2.05302E+11,27130419590,827975690,0
2021.12.6,-1.51687E+11,-862238020,-1.18589E+11,-2606487250,25495568895,1481766715,-67809647625,80062106770,1.75102E+11,58762338165,650809560,0
2021.12.3,59651479620,-8485035405,-76857376795,-11526117475,19850472415,-282704895,-2398835015,9084746185,16391497915,-5380846235,-47280315,0
2021.12.2,-1.66393E+11,9066049195,-61959131005,-5433976410,66326947092,6024970070,-3578451650,-11365899090,1.8727E+11,-21999622725,2041634160,0
2021.12.1,-1.57879E+11,11168756795,14115203850,-5479866380,68884452955,5099218720,-124825115,2412888645,1.65928E+11,-1.03949E+11,-175999480,0
2021.11.30,-2.64655E+11,36333468765,61716235530,1913254850,1.03702E+11,4067658200,1908181605,1834044725,79003875655,-27274429125,1450728580,0
2021.11.29,-1.40393E+11,17939895020,99175128800,-686511980,46488092590,0,-5127802855,-26847625,16573224795,-33902983215,-39452800,0
2021.11.26,-2.07081E+11,1760004715,22647473595,11167354730,75855106965,660924030,-1563969750,13608990110,1.36683E+11,-53623720245,-113804240,0
2021.11.25,-1.66086E+11,4211621260,74609688150,5295263480,96044384450,253767390,-1469839315,-2591266955,41426129335,-52423855870,730055395,0
2021.11.24,-1.76339E+11,-800463230,1.16618E+11,-7392049335,91581952855,754106225,-8819880465,4957608435,27356027860,-48543494180,626731145,0
2021.11.23,-1.2977E+11,-251360020,-85721513095,4236201700,93130973125,-130702200,-52055160,-7272383255,1.10573E+11,15034842855,223521165,0
2021.11.22,1.9625E+11,-23020128920,-1.64411E+11,-1289753180,36198020885,-5491324820,-4568729615,12481680535,1.21509E+11,-1.67751E+11,93667835,0
2021.11.19,-1.63955E+11,47059635,12305676965,6273607565,74612304865,-985559295,3368456185,2055663645,59477665410,6199203330,601150350,0
2021.11.18,-2.09155E+11,-19397918609,61771116455,2116112400,58310051030,-88880190,-7011818630,2306779175,1.18135E+11,-7271313255,285842290,0
2021.11.17,-2.18836E+11,-955520319,88136074000,2007266955,74811407850,979944070,-2344610520,752438755,95635164160,-40306678225,120673950,0
2021.11.16,-1.15078E+11,-10176275990,-1.13524E+11,-3046764160,27708702375,-159521475,-4860124445,-801366805,2.081E+11,10918381100,919075175,0
2021.11.15,-1.9243E+11,-3545291820,-1.06884E+11,8127006235,-7559692505,125816165,3473109935,5201439100,3.06717E+11,-12783346910,-441848555,0
2021.11.12,98644362960,-12493728815,66376197285,20759205300,-1.79127E+11,36350835,-2427264040,3344076945,-15988917835,20774286735,102799890,0
2021.11.11,-1.83733E+11,7474356375,1.19515E+11,-8427257790,-25954081380,91905565,-1253372635,4708891975,73068358235,11858654910,2650251850,0
2021.11.10,-1.81403E+11,-4149535420,-98778320890,-4463512895,1.08927E+11,-1075536725,-2324107995,-19963210960,2.47723E+11,-43246141475,-1246136665,0
2021.11.9,-1.61956E+11,-12864043235,1.04582E+11,7479764040,-94157590645,110265765,-3206299475,4455394910,1.34794E+11,17926275630,2835931940,0
