일자,금융투자,보험,투신,사모,은행,기타금융,연기금 등,기타법인,개인,외국인,기타외국인,전체
2019.12.30,1.68858E+11,-15952050500,-1.00608E+11,-3191563010,1188884075,2041376825,11363375435,-2028043095,-11125238745,-50794039455,247007570,0
2019.12.27,26647381960,10116787625,54583953255,5188616515,-64346645430,252482430,-4929285625,-4182741985,-54371132320,31122459830,-81876255,0
2019.12.26,13767591845,-16573638725,3268430965,7227821150,-10602816680,394251290,17497277900,143341275,-8198508675,-6455280360,-468469985,0
2019.12.24,2.07182E+11,-18978411475,-36763814560,9166991219,13270877280,-63338565,9943269740,-1752261780,22593494675,-2.04733E+11,133870115,0
2019.12.23,4.14813E+11,16497138462,21318458290,-1258673130,-1542957345,-232389380,8395955370,-3963158410,-3435709210,-4.50684E+11,92074265,0
2019.12.20,2.11628E+11,-11193776888,63422511520,2012386040,-5695996145,22070995,5244259445,1199765105,-24108068095,-2.4241E+11,-121614695,0
2019.12.19,2.68082E+11,-5580332010,-1.16296E+11,-35095514925,-6432787925,-137594255,-380015410,-3293697440,8476300390,-1.09219E+11,-122957925,0
2019.12.18,1.98234E+11,-3759664363,-84050185815,9701163725,-13371520485,-266557785,-723068140,-2741869610,4926095555,-1.07892E+11,-57135880,0
2019.12.17,4.38937E+11,-33455204120,-1.04448E+11,-508358610,-28346439620,-295782290,-16361227727,-3809243950,-20613560420,-2.30573E+11,-526732070,0
2019.12.16,7.48772E+11,-18877333380,-42961200515,-79917055,-13917554750,-249421820,1190185290,-1576841580,-3188431390,-6.69141E+11,29229540,0
2019.12.13,4.23228E+11,-65821713825,-1.0656E+11,417137105,-96919109130,-1112141075,-17589383075,355323570,-20218188595,-1.15789E+11,9355230,0
2019.12.12,65704862850,-26072973170,-64034165305,5571938450,-14077274800,-1088995625,1479814555,-312315765,8474760990,24303489895,50857925,0
2019.12.11,-22070569224,-7219508485,45752385125,-13670696110,-4467576560,-537312946,30969861790,-902785185,28062411955,-55958203620,41993260,0
2019.12.10,1.4458E+11,-544748325,-12298767025,-835165095,-2228131900,173409440,1331889245,1870895830,2126687795,-1.34274E+11,98021485,0
2019.12.9,3.24422E+11,-4550485108,-51265176340,2519418995,-4321330445,-409629230,-2798349730,55454625,-6883006290,-2.56804E+11,35554545,0
2019.12.6,24764376320,-2173750520,86992446790,-8796793000,-9364252670,183114820,-323086910,1850831410,-35354545180,-57570471165,-207869895,0
2019.12.5,2.41531E+11,4133417260,-10177883775,1560697935,-16515555445,492024285,1524342790,-3950673690,12920563885,-2.31654E+11,135839620,0
2019.12.4,16570184055,-2736409045,21300876410,2153922205,26853885325,452477750,-324564535,-5077134310,-18137391100,-40886451130,-169395625,0
