일자,금융투자,보험,투신,사모,은행,기타금융,연기금 등,기타법인,개인,외국인,기타외국인,전체
2020.12.30,1.59483E+11,-30374840865,-25938403575,62686993805,-2.36184E+11,781646635,25567337690,10307007055,41142676205,-8019125925,547052875,0
2020.12.29,2.18939E+11,-16105156021,-16817425280,34846683120,-1.41753E+11,232705430,5606171000,-5174639710,-1.41395E+11,62495953325,-874749360,0
2020.12.28,-662485375,-1649771675,-44425844520,17909960300,-59087787415,9396610,-19367016605,2786988515,1.60721E+11,-57635159315,1400601505,0
2020.12.24,83993040965,-4550309250,-66999681825,7540271510,-24129077630,-2186126025,-22678408490,9832621060,-13360408865,33406346925,-868268375,0
2020.12.23,3.75843E+11,-3150248040,8088615485,-3586801735,-16433268615,-992148495,-40205595645,-4728217000,-23601213400,-2.91837E+11,603179740,0
2020.12.22,-1.33724E+11,-4031075350,-73858752194,6005941919,89663768610,1906969915,-2089341970,-8853128970,1.93207E+11,-69180631316,952341045,0
2020.12.21,82347320145,4703100945,32409532610,-1764294415,27676057065,300337245,365447460,-2465271135,4510593990,-1.48244E+11,161304380,0
2020.12.18,63296070455,-24487202180,-70223552670,-5772103315,22594948355,-782332660,-314312730,-3057297610,-6054785400,24892404895,-91837140,0
2020.12.17,1.5977E+11,-17784090376,26818353830,2939675850,-26639466710,600794115,1094355900,-551608070,31172013740,-1.77481E+11,60559490,0
2020.12.16,3.10111E+11,-16167415645,-26797262095,13492993685,-61511451715,-188881260,-6815335370,6288824175,-66693770830,-1.51496E+11,-221912465,0
2020.12.15,2.52415E+11,-9681528214,-7025905995,25486841165,47229828300,80059350,-513996910,-3792387195,15121813835,-3.19611E+11,291478820,0
2020.12.14,2.83616E+11,-1296073675,31545443420,-1412384615,50389602625,236604665,106627315,4576394665,58588457740,-4.2676E+11,409472850,0
2020.12.11,3.93777E+11,-8537202850,-26357075745,-20083157820,50136993360,-15322695120,-9102258145,-3808644195,5041250310,-3.65467E+11,-277056080,0
2020.12.10,1.69232E+11,-24141806055,-21780741140,1788304610,82223234500,-2205656960,16391101405,-9501310500,17244731090,-2.29504E+11,253566705,0
2020.12.9,6394578229,3086073411,5731987550,1609819655,45716248480,-938608170,-10255209840,5734991195,18554763450,-75573931365,-60712595,0
2020.12.8,-1.62013E+11,8211257535,4523637505,-529762225,35644585785,711823360,2812966160,1040361675,82498881035,26732118870,366781585,0
2020.12.7,1.32124E+11,-31259885205,-43910822545,-1009681205,1198883100,-11182871755,3167064275,-8603783575,49272685180,-90310704065,514695105,0
2020.12.4,1.06374E+11,-33503826705,-81428577645,10843860125,-1.68155E+11,-834262165,-5509335810,574097650,87139049965,83586461275,913211695,0
2020.12.3,1.64895E+11,-30135087700,-1.10289E+11,6533015900,-90110378195,-481247095,6084072530,-2294131180,18672675595,37665746240,-540037135,0
2020.12.2,1.81729E+11,-36016152948,-51564219955,13333324175,-1.47809E+11,-1565486170,-6208589590,4668889120,19800604930,23034116360,597540850,0
2020.12.1,69094396135,3123155025,-58602337015,-16792239535,25596999900,-15714016860,-603462810,10256458210,-39352667900,22789076710,204638140,0
2020.11.30,-90931852545,19539120605,-42895219135,-2063262980,86556900225,134925465,-343033605,-978904095,72747369190,-42332601170,566558045,0
2020.11.27,-84965233940,-4172936100,73810912675,13406216195,42058182310,-6250385,-1864581420,-1639830780,-26933844295,-9610362415,-82271845,0
2020.11.26,37401911045,-5375688290,-76899797635,-13914080455,47872016745,-882997670,5927727300,8382167280,-19007390230,16298395725,197736185,0
2020.11.25,1.70328E+11,-18954885885,-40763051335,549665380,-85510215420,-1012408345,2883079760,-17953652940,40501436560,-49734038240,-333944195,0
2020.11.24,2.36778E+11,-28383736593,-1.34471E+11,28929932750,-1.63134E+11,-440224455,8531653535,5955112740,23444577150,23591206985,-802090090,0
2020.11.23,2.25127E+11,-31459333629,-86496681935,6912527895,-1.45062E+11,-15940784765,-9586981180,3747251040,45116312140,7787581155,-145557105,0
2020.11.20,-5177759360,-20404231775,42584239175,-6306605245,10275203170,-143840935,-871285790,-623087195,-45828354020,26469200095,26521880,0
2020.11.19,-56600029759,11699093644,16809546320,2150207340,-444368915,-257064920,6170446825,548767305,-19881874830,39524402790,280874200,0
2020.11.18,1.14187E+11,-24981565110,-39467061880,-851957755,2598105695,-429858960,-552176935,-2824700720,-18211701960,-29251871545,-214330800,0
2020.11.17,1.13286E+11,-19019715000,-1.83704E+11,1775562920,-21548186035,-1769023035,2639220530,-6996146580,31733220015,84945071965,-1342015045,0
2020.11.16,2.44791E+11,-13181171430,-1.03565E+11,-3503975460,-1.51455E+11,-1308585170,-6960154495,5295333455,-2546596555,31143461620,1290794485,0
2020.11.13,-20643913965,-9114833420,-63141816295,6324277165,22239106870,-436565495,-2221904610,-2234112015,32168287950,37141215525,-79741710,0
2020.11.12,2.23171E+11,-26586232880,-2.29365E+11,-7265866320,44968194565,-857308205,-32243271940,-1539603845,11399303995,17817348200,501306225,0
2020.11.11,10709871335,-1369723790,-28139453890,-619288640,-28834622250,545793560,1210057690,-10247563065,12833789445,43681978055,229161550,0
2020.11.10,1.38997E+11,-70314179084,-1.74917E+11,-238078345,6699873960,-974908610,-11330758235,3330266620,85917336430,22165279420,664834175,0
2020.11.9,2.0574E+11,-51946394610,31489334300,22375688715,-1.31746E+11,207942040,-7713040195,9103161480,-1.17208E+11,40665390215,-967938170,0
