일자,금융투자,보험,투신,사모,은행,기타금융,연기금 등,기타법인,개인,외국인,기타외국인,전체
2022.12.29,-1.35597E+11,-30368623960,76640053110,2651034655,30568050570,1001509100,17461858085,4439407455,-2820057130,35322209525,701712070,0
2022.12.28,1.03958E+11,-43169709470,-77481555798,-17424319525,8744569530,334676260,291103170,324801375,-13632031025,38458133640,-404066630,0
2022.12.27,-1.64088E+11,32641960285,37845355424,23025688730,8089553935,-7652802675,21469102845,15582280110,9044696200,24999852280,-957777470,0
2022.12.26,-2.14657E+11,70562600585,1.44717E+11,24022361160,2655057770,94551545,-33443561835,3028496025,20649233595,-17459150205,-169730975,0
2022.12.23,69952889170,4466632820,-1.03919E+11,-6694709975,7434562290,5199020450,608768110,9782529920,30503461430,-17314406290,-20180955,0
2022.12.22,-65455873540,18678297240,45971287945,106025115,3507344835,4965982300,-14908700300,18303557905,35760032155,-47881269130,953315475,0
2022.12.21,-56471725640,6987859385,1.00784E+11,-2594378440,1587293950,10963879320,-30085554400,3147773285,-14511109800,-19650508905,-157169275,0
2022.12.20,1.04625E+11,-12306307520,-90436142570,-1666126380,22134052595,-484450900,9325351625,-106588290,-13293697365,-17602927670,-188654175,0
2022.12.19,-1.20466E+11,753671290,61255904655,-3993012315,39075340360,672203410,1639763905,1724164945,2484162925,17451941590,-598349890,0
2022.12.16,-1.11308E+11,-8034043760,1.05429E+11,4359921385,9312342505,542264805,-1302951655,10999724790,10115241075,-21148442615,1035300360,0
2022.12.15,21916171582,-6296387822,-79402638735,-20569034910,8073305685,-150486320,-1001619035,19189819465,25775481100,33068284295,-602895305,0
2022.12.14,-69293075779,6027249183,65883540776,6160816690,2163522835,29768690,-2084312170,-5803245050,24978947710,-28849636220,786423335,0
2022.12.13,-1.29532E+11,-9207629708,96574922701,584733805,3360578645,11267360520,179982090,-5622086965,-18110400555,50877100350,-372301340,0
2022.12.12,72912057635,2864965365,-1.09619E+11,6652135860,8924685560,126356975,-4148770090,-2212380380,16843433985,7378791270,277975485,0
2022.12.9,-97453741485,2627209410,62930858110,2529696840,16460078320,1968732415,-10358820,83686100,-3429558610,13748812975,544584745,0
2022.12.8,-9447112865,-33086452970,11568891760,-2147564835,4301169445,4301665100,-12076099010,866147530,-15820520265,51616521390,-76645280,0
2022.12.7,4695094100,-7708251510,-13094407680,-8317452350,-11936613380,1173344785,472622060,9880723115,8611683660,16957478245,-734221045,0
2022.12.6,-75388347930,-16654582980,18688603310,-2042932755,5571873060,1887887195,20349258950,-1551973825,-37270801750,86247779180,163237545,0
2022.12.5,-482807560,5309290635,97687629010,-5540040875,12779649355,-222853730,-364305420,580764415,15833321775,-1.25817E+11,236140905,0
2022.12.2,1.06738E+11,-1180655710,-75331774055,359091020,16147853525,2614334165,881787525,6588097450,-25845621015,-29798529120,-1172515470,0
2022.12.1,-7352241760,-4353198515,1.09714E+11,6403269955,-46560399235,-39667125,708715260,412729870,-63156009955,3943950370,278620890,0
2022.11.30,-33810173120,7940501835,-46366134745,2374201695,2337341515,73202435,-2379092255,1174259190,87758638275,-19796564090,693819265,0
2022.11.29,-43350277745,11601327790,-51738988355,5869873315,6836330805,6392700025,-10595317320,2230630610,1.18864E+11,-46501536285,391021205,0
2022.11.28,-29489735180,-11628192875,1.23643E+11,20068118020,-2791060760,516751480,8725897215,12634333705,20779306720,-1.41573E+11,-885652610,0
2022.11.25,6625957180,4822569725,-60544804665,-7898058580,-6838467565,222231055,1630356580,30057249125,26504327555,5437072460,-18432870,0
2022.11.24,3.17509E+11,-113294545,-1.01274E+11,-6400228165,-7189306665,10047094310,28999422060,6921728730,42516316380,-2.91586E+11,569260345,0
2022.11.23,-1.59655E+11,800576925,1.24353E+11,-11101313005,2448111190,1233420875,8407803605,26571898610,-40124132440,47333868795,-268997070,0
2022.11.22,1.97566E+11,-4571289545,-34145850570,-1270899330,3138461045,-5473010485,-7609788735,18774298900,-5770964645,-1.60597E+11,-40700865,0
2022.11.21,-1.81219E+11,-17639826216,77205554905,-11655194020,17972446725,-255714080,-13948292105,1574503180,-946993355,1.28936E+11,-23666845,0
2022.11.18,2.08785E+11,1022348640,-1.10702E+11,-4743536055,-26642062990,-460289085,-94944451530,-29833692115,21654302520,37914445360,-2050269865,0
2022.11.17,-1.05202E+11,-2064236999,69006377980,-10253432000,-5320500220,-207769145,-2497704100,7800575990,44307559605,3748130430,682693565,0
2022.11.16,58120064905,-11285569330,-1.21052E+11,-13926586830,8563830055,116471520,-7211401190,10131425810,18370896110,58008013775,165276905,0
2022.11.15,-88712340166,-5739742570,44943127136,6192882060,16630566820,962664855,-33622810,7637775650,5522306110,11267020740,1329362175,0
2022.11.14,1.90139E+11,6768230980,-1.34552E+11,16464062585,-66902550335,2575843930,-57613548300,-16162156800,45785506765,13558459980,-61197725,0
2022.11.11,1.12438E+11,9350960415,-50558814510,-10253064340,-43693533715,124564625,-35395804645,-3016449175,-2.59126E+11,2.79487E+11,643076210,0
2022.11.10,-1.14828E+11,-10293414540,83629518660,-894539555,2311527220,412560000,-26330878170,2838511930,20397725895,42808979570,-52172555,0
2022.11.9,43055676385,-59005579535,-47440382535,-2530114915,-16742621030,-1573162025,-4361230820,1092029485,-17761286915,1.04907E+11,359885015,0
2022.11.8,74465837315,-6872259815,-90866212820,-5548570590,2958724160,-4697641355,-12019759635,3898581905,-25700697945,64521861295,-139862515,0
2022.11.7,54170083355,-15938288865,-1.10021E+11,-2250830235,9674851680,-4770307440,444616645,-6174368280,-29382431180,1.04328E+11,-79982110,0
2022.11.4,-94889002495,-5831863530,63547895335,3256066510,-10722487225,-31304324405,-2550562745,2553439810,72073219630,4802969730,-935350615,0
2022.11.3,-5629564790,-1853480100,-47559833100,43237141640,2166242860,-308392090,-28896414835,-5455450310,76630659720,-33399365390,1068456395,0
2022.11.2,-27950916220,6789675585,-23219373870,12541116075,2394760535,-790362375,-2677162015,281268070,25374661480,7312131505,-55798770,0
2022.11.1,2.49095E+11,-54985602970,-1.26783E+11,-878924625,-19802424750,-5029516065,-14864882710,19363579490,-38552544260,-8731466785,1169512285,0
2022.10.31,36880831698,-3876389578,34400060090,-36234107395,-420238815,-5409162365,-1289714690,-2181151275,-59292783905,36509174585,913481650,0
2022.10.28,1.75195E+11,-74954810,-1.13542E+11,-36388976065,-35887112505,-708148605,-8024176115,-4475615185,16120616040,7753256805,31803030,0
2022.10.27,49362720217,-57548557182,73050113800,12807717050,-74105844625,-849097435,-1250291125,6048863925,-32035988470,24539616385,-19252540,0
2022.10.26,-1.01649E+11,-20898417443,45559091460,14086700820,-7302158100,-3520863230,7155867035,14303751120,36533506625,15679938790,51646650,0
2022.10.25,1.37344E+11,27380830,-78760810455,1372656810,-45654729980,-781593955,-7606658335,21386663375,-15256577935,-12001466200,-69106700,0
2022.10.24,1.34644E+11,-5548832365,-87019650740,-7586931830,-9747251760,-2046026945,-1961933530,-1423255230,-29084904180,9476045960,299151440,0
2022.10.21,-2.29228E+11,1276736660,81318565170,9962703090,21884798000,2873195050,-561418925,4490878400,93926279710,13774661635,281224215,0
2022.10.20,-90346973084,4973742379,1.04711E+11,21341834015,-5156350400,-4366530630,-9907097725,8525105670,24318586725,-54500121555,406842135,0
2022.10.19,1.06681E+11,4756918560,-75204735870,10404001125,-4465067200,-217627990,-20719827035,3271608970,13676935875,-38628686455,445634480,0
2022.10.18,-32856904295,-5083454245,68860483070,-4601320785,-3983016030,-2425855795,-505676725,1070764955,-92724289280,72318751245,-69482115,0
2022.10.17,2.15269E+11,1278812148,-99580392835,27052126980,3820014435,13229475,8746904535,8302635500,70289373550,-2.33991E+11,-1200431410,0
2022.10.14,28848508255,-12417225670,-75553224575,2686745560,1191180505,160307020,1271744695,6879664460,2880030220,42467921930,1584347600,0
2022.10.13,-17708087540,6744208955,-51171615640,42610650970,17744778970,5626979250,-37703426830,5128503350,33578448375,-5132861035,282421175,0
2022.10.12,-53538438784,125002785,-21271829195,53289879920,13368704400,1383517930,3107985680,2032502604,49962314935,-48784155355,324515080,0
2022.10.11,-2.71681E+11,-15734238555,1.64487E+11,38884298430,736409735,1338573860,10917041500,-1349938220,66988376690,5204621275,208722445,0
2022.10.7,57756257481,-5971493820,-1.59402E+11,-483135120,745189910,-2117291685,-346231915,9088981349,77935753620,22506706465,287273360,0
