일자,금융투자,보험,투신,사모,은행,기타금융,연기금 등,기타법인,개인,외국인,기타외국인,전체
2024.7.19,-3.39729E+11,4756421180,1.04769E+11,14943434594,78466909375,9126263365,10339166860,3672197107,70586663718,44308056903,-1239215527,0
2024.7.18,-2.58936E+11,-11726317500,1.77537E+11,-1922757736,71659715213,-35338721371,25594318810,60760993033,-87778808520,60480971558,-331270488,0
2024.7.17,-2.34332E+11,-2033786985,31516811427,14560528931,66482440955,-18248912293,-45035033470,24136263053,1.90188E+11,-27780490280,546099896,0
2024.7.16,-1.51477E+11,-3699039935,-1.67473E+11,2326913159,69860376355,16672571835,27688311655,32723480439,1.70211E+11,2596919298,569629175,0
2024.7.15,-2.78149E+11,10609440970,1.2191E+11,9516849344,74291909075,496542160,21918546680,5425167216,84670228464,-51219170202,528904549,0
2024.7.12,-3.97097E+11,-12357890670,1.58073E+11,-7914128071,1.7666E+11,3877195961,-182818260,17096830356,38136103099,23158271474,549893127,0
2024.7.11,1.24697E+11,9830248800,-2.04941E+11,7143917826,-81832834481,-34781542505,4879265580,-21648913004,1.49822E+11,44782505366,2048339022,0
2024.7.10,-1.72498E+11,-45606532410,67232311045,14800308740,29853167690,604823870,-9727103800,9367557761,1.51747E+11,-46030207468,256066011,0
2024.7.9,43621906927,-400374525,8214547504,13359564236,-62865396580,-50878950515,-42396555770,-23224093972,86302298803,28044230212,222823680,0
2024.7.8,-72827711601,-3129526985,23065568944,23083415190,-39431958400,193149495,14308937140,-31795623935,88458467314,-2531996509,607279347,0
2024.7.5,2.1772E+11,-20958295095,-97115133078,-25414956399,-99828071795,-5621157440,-30679562925,-18202566816,76408579278,2618305648,1072997279,0
2024.7.4,51329526534,-13813953555,-1.84267E+11,-9206991239,-22477820678,-115874010,20960937250,20589597358,1.36068E+11,230595975,702680506,0
2024.7.3,-1.79108E+11,-5504320025,1.5624E+11,8064495501,29063119440,-524748420,-38740399385,6286288404,-25225611672,49602172441,-153476314,0
2024.7.2,-3.30949E+11,-25719157980,52005697153,44515612712,81842037095,-1532360340,11360789095,5312458963,1.63008E+11,-572018499,727375132,0
2024.7.1,-1.34043E+11,-6038451365,21573839228,12934582837,50843030935,-47508715,372736475,1192739700,75484250058,-22156721230,-115537598,0
2024.6.28,-1.66384E+11,13394300160,-1.01871E+11,21395123503,23709641530,1197212365,9657415210,19517794034,1.70728E+11,7964814214,690212255,0
2024.6.27,-3.33985E+11,-3816869450,1.27632E+11,53623591349,36863085120,31741315,3349581605,10414842471,82804176316,23112719297,-29702324,0
2024.6.26,-1.60118E+11,4210552160,-1.00333E+11,36015057532,52696673325,-254092440,7540818410,2701709949,2.25435E+11,-69256268760,1360916576,0
