종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
KR6145766C24,BNK캐피탈274-3,,110999,,
KR6145766D80,BNK캐피탈327-2,,111222,,
KR6145761D93,BNK캐피탈328-1,,222408,,
KR6145767DA4,BNK캐피탈331,,332458,,
KR6145768DA2,BNK캐피탈332,,335745,,
KR6145766DB4,BNK캐피탈334-1,,223753,,
KR614576KDB6,BNK캐피탈337-1,,222636,,
KR6145761DC3,BNK캐피탈338-1,,111448,,
KR6079318D76,JB 우리캐피탈482-2,,223342,,
KR6079311D81,JB 우리캐피탈483-1,,334637,,
KR6079311D99,JB 우리캐피탈486-1,,1112041,,
KR6079315DA2,JB 우리캐피탈491-2,,558670,,
KR6166261C95,NH농협금융지주38-1,,222660,,
KR103502GB33,국고채권01875-5103(21-2),,355353,,
KR103504GC97,국고채권03250-4209(22-11),,5857791,,
KR103502GE30,국고채권03250-5403(24-2),,3720876,,
KR103502GCC8,국고채권04250-3212(22-14),,539501,,
KR6060003D76,국민은행4307이표일(03)1-19,,111622,,
KR6060007D72,국민은행4307이표일(03)1-28,,557598,,
KR6060004D75,국민은행4307이표일(03)1.5-20,,335593,,
KR381001GD54,농업금융채권(은행)2023-05이1.5Y-A,,669027,,
KR381007GD74,농업금융채권(은행)2023-07이1Y-F,,557503,,
KR381006GD75,농업금융채권(은행)2023-07이Y-E,,111617,,
KR353101GD52,부산도시공사65(지),,111596,,
KR6005283E30,부산은행2024-03이0.5A-13,,1106584,,
KR356208G477,산업금융채권(정금)14신이1000-0729-3,,111322,,
KR310201GC86,산업금융채권22신이0200-0801-2,,111397,,
KR310205GC82,산업금융채권22신이0200-0811-3,,111296,,
KR310211GDA7,산업금융채권23변이0009-1020-1M,,221790,,
KR310201GD85,산업금융채권23변이0100-0802-1M,,110748,,
KR6008275B78,산은캐피탈671-3,,110984,,
KR6008271C14,산은캐피탈682-1,,110570,,
KR6008271D88,산은캐피탈713-1,,446316,,
KR6008274D93,산은캐피탈715-4,,111664,,
KR6008278DA8,산은캐피탈717-1,,558457,,
KR6029781D79,삼성카드2594,,110775,,
KR380701GDB0,수산금융채권(신특)02-11이표12-07호,,223506,,
SWAP00000002,스왑(KB증권),,31004,,
SWAP00000004,스왑(NH투자증권),,65608,,
SWAP00000003,스왑(대신증권),,36003,,
SWAP00000010,스왑(메리츠증권),,-229485,,
