종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
SWAP00000005,스왑(미래에셋증권),,128507,,
SWAP00000009,스왑(삼성증권),,112219,,
SWAP00000014,스왑(하나금융투자),,3350249,,
SWAP00000017,스왑(한화투자증권),,18318,,
SWAP00000013,스왑(현대차증권),,44250,,
KR6000014C96,신한은행26-09-이-2-A,,110732,,
KR6000011DC7,신한은행27-12-이-9M-A,,444674,,
KR6000019DC0,신한은행27-12-이-9M-B,,110991,,
KR600001BDC8,신한은행27-12-이-9M-C,,221938,,
KR6000011E22,신한은행28-02-이-8M-A,,110782,,
KR603271E984,신한카드2046-3,,111247,,
KR6032719BA5,신한카드2123-1,,110914,,
KR6032715C26,신한카드2131-1,,110887,,
KR6032717C73,신한카드2144-3,,334747,,
KR6032719C71,신한카드2145-2,,111658,,
KR6032714DA2,신한카드2193-2,,110862,,
KR6023786B87,신한캐피탈445-6,,110820,,
KR6023785BB5,신한캐피탈450-2,,110917,,
KR6023782D71,신한캐피탈482-1,,335028,,
KR6023783D70,신한캐피탈482-2,,111675,,
KR6019457D40,아이비케이캐피탈278-1,,111706,,
KR6019456D58,아이비케이캐피탈280-1,,111449,,
KR6019459D71,아이비케이캐피탈285-1,,111734,,
KR6019451D87,아이비케이캐피탈286-1,,557562,,
KR6019452DB4,아이비케이캐피탈295-2,,112848,,
KR6019453DB2,아이비케이캐피탈296-1,,112715,,
KR6097243978,엔에이치농협캐피탈136-3,,110961,,
KR6097243B96,엔에이치농협캐피탈169-3,,110593,,
KR6097249C16,엔에이치농협캐피탈176-2,,222600,,
KR6097244C78,엔에이치농협캐피탈184-2(녹),,111732,,
KR6097248C82,엔에이치농협캐피탈188-1,,111384,,
KR6316142D90,우리금융지주6-1,,111136,,
KR6033661C10,우리금융캐피탈433-1,,110505,,
KR6033664C17,우리금융캐피탈433-4,,110167,,
KR603366AC57,우리금융캐피탈446-4,,111212,,
KR603366AC81,우리금융캐피탈453-2,,111636,,
KR6033662D67,우리금융캐피탈471-2,,111775,,
KR6033661D76,우리금융캐피탈474-1,,110712,,
KR6033669D78,우리금융캐피탈475-1,,223329,,
KR6033661D84,우리금융캐피탈477-1,,223166,,
KR603366FDA7,우리금융캐피탈486-1,,223911,,
KR6033666DB1,우리금융캐피탈489-1,,112709,,
KR6000032DB5,우리은행27-11-이표01-갑-07,,111683,,
KR6000037DB4,우리은행27-11-할인8M-갑-30,,552207,,
KR6000034E17,우리은행28-01-할인10M-갑-31,,109181,,
KR6000031E10,우리은행28-01-할인9M-갑-19,,109607,,
KR6000036E49,우리은행28-04-할인7M-갑-22,,218524,,
KR6000038E47,우리은행28-04-할인7M-갑-26,,109221,,
KR6174141C79,우리카드217(사),,110849,,
KR6174144C76,우리카드219-1(사),,335227,,
KR6174141C87,우리카드220(사),,111631,,
KR6174145C83,우리카드221-1,,111485,,
KR103104AE53,재정증권2024-0170-0063,,220984,,
KR103105AE52,재정증권2024-0180-0063,,331255,,
KR103101AE64,재정증권2024-0190-0063,,220668,,
KR103102AE63,재정증권2024-0200-0063,,551346,,
KR103103AE62,재정증권2024-0210-0063,,2865174,,
KR103104AE61,재정증권2024-0220-0063,,220252,,
KR103102AE71,재정증권2024-0240-0063,,879875,,
KR310511ADA3,중소기업은행(단)2310할274A-20,,110545,,
KR310513ADA9,중소기업은행(단)2310할274A-25,,110493,,
KR310512GD71,중소기업은행(변)2307이1A-21,,110867,,
KR310501GD82,중소기업은행(변)2308이1A-01,,110759,,
KR6028821B91,증권금융채권2021-4-1,,110517,,
KR6140174816,케이비국민카드227-4,,110354,,
KR614017D816,케이비국민카드230-4,,111071,,
KR614017BD89,케이비국민카드386-3,,113090,,
KR60219659A4,케이비캐피탈437-5,,110254,,
KR602196BB71,케이비캐피탈477-4,,110976,,
KR602196CB88,케이비캐피탈479-5,,110623,,
KR6021963C10,케이비캐피탈484-3,,221194,,
KR6021962C45,케이비캐피탈489-2,,110691,,
KR6021966C74,케이비캐피탈495-2,,111727,,
KR6021963CC6,케이비캐피탈503-3,,112235,,
KR6021961D45,케이비캐피탈506-1,,110839,,
KR6021963D76,케이비캐피탈513-3,,111576,,
KR6021961D94,케이비캐피탈517-1,,1112802,,
KR6021961DA2,케이비캐피탈520-1,,554747,,
KR6021964DA6,케이비캐피탈521-1,,221655,,
KR310104AE47,통화안정증권DC024-0723-0910,,110514,,
KR310105AE46,통화안정증권DC024-0730-0910,,110441,,
KR310103AE55,통화안정증권DC024-0820-0910,,110225,,
KR310103AE63,통화안정증권DC024-0919-0910,,1099137,,
KR6086792C77,하나금융지주56-2,,111552,,
KR6004946E40,하나은행47-04이0.5갑-25,,780801,,
KR6004947E49,하나은행47-04할0.58갑-26,,327663,,
KR6205494C82,하나카드220-1,,222581,,
KR6205491D50,하나카드236-1,,111420,,
KR6205491D76,하나카드239-1,,110989,,
KR601980BAA2,하나캐피탈316-5,,110990,,
KR601980DBB4,하나캐피탈340-5,,110122,,
KR6019807C14,하나캐피탈345-3,,110840,,
KR6019802C27,하나캐피탈346-2,,222223,,
KR6019804C33,하나캐피탈348-4,,110793,,
KR601980ACB8,하나캐피탈370-3,,223584,,
KR6019803CC8,하나캐피탈374-3,,113047,,
KR6019806CC1,하나캐피탈375-2,,558327,,
KR6019801D84,하나캐피탈397-1,,557889,,
KR6019802D83,하나캐피탈397-2,,111655,,
KR6019808DA9,하나캐피탈408-1,,784060,,
KRZF10857YDC,한국광해광업공단(CP),,52094,,
KRZF10857BDA,한국광해광업공단(CP),,52812,,
KRZF10857CDA,한국광해광업공단(CP),,52812,,
KRZF10857VDA,한국광해광업공단(CP),,52812,,
KRZF10857WDA,한국광해광업공단(CP),,52812,,
KRZF10857XDC,한국광해광업공단(CP),,52094,,
KR380804ADA7,한국수출입금융2310차-할인-274,,110493,,
KR380802ADB9,한국수출입금융2311아-할인-274,,220555,,
KR380806AE17,한국수출입금융2401사-할인-182,,331327,,
KR380802AE29,한국수출입금융2402나-할인-182,,551746,,
KR380803GE30,한국수출입금융2403바-이표-122,,221766,,
KR380805AE59,한국수출입금융2405사-할인-92,,110287,,
KR350113GC71,한국전력공사채권1239,,225568,,
KR350116GC78,한국전력공사채권1242,,112731,,
KR350107GC87,한국전력공사채권1254,,112584,,
KR350113GC89,한국전력공사채권1260,,224977,,
KR350101GC91,한국전력공사채권1269,,112693,,
KR350104GCA7,한국전력공사채권1293,,112778,,
KR350107GCA0,한국전력공사채권1295,,112742,,
KR350113GCC4,한국전력공사채권1333,,111217,,
KR354416GD76,한국주택금융공사MBS 2023-21(1-1)(사),,223152,,
KR6030491C61,한국투자증권23,,111424,,
KR6030491E28,한국투자증권26-1,,111898,,
KR6065901995,현대카드769-1,,111215,,
KR606590CC72,현대카드851-2,,111570,,
KR606590DC71,현대카드851-3,,558531,,
KR6065904C84,현대카드854-2,,111356,,
KR6029888B81,현대캐피탈1888-3,,222448,,
KR609592BC18,현대커머셜430-3,,111280,,
KR6095923C70,현대커머셜446,,335454,,
KR6095921D14,현대커머셜457,,223151,,
KR6095922D70,현대커머셜478-2,,110750,,
KR6095927D83,현대커머셜483-1,,223872,,
KRD010010001,원화현금,,,51547650,100
CASH00000001,설정현금액,,,104221280,
