종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
"US88579Y1010","3M CO","8.10",,,
"US0028241000","ABBOTT LABORATORIES","25.50",,,
"US00287Y1091","ABBVIE INC","25.90",,,
"IE00B4BNMY34","ACCENTURE PLC-CL A","9.20",,,
"US00724F1012","ADOBE INC","6.50",,,
"US0079031078","ADVANCED MICRO DEVICES","23.70",,,
"US00130H1059","AES CORP","10.40",,,
"US0010551028","AFLAC INC","7.60",,,
"US00846U1016","AGILENT TECHNOLOGIES INC","4.30",,,
"US0091581068","AIR PRODUCTS & CHEMICALS INC","3.20",,,
"US0090661010","AIRBNB INC-CLASS A","6.40",,,
"US00971T1016","AKAMAI TECHNOLOGIES INC","2.20",,,
"US0126531013","ALBEMARLE CORP","1.70",,,
"US0152711091","ALEXANDRIA REAL ESTATE EQUIT","2.30",,,
"US0162551016","ALIGN TECHNOLOGY INC","1.00",,,
"IE00BFRT3W74","ALLEGION PLC","1.20",,,
"US0188021085","ALLIANT ENERGY CORP","3.70",,,
"US0200021014","ALLSTATE CORP","3.80",,,
"US02079K3059","ALPHABET INC-CL A","86.40",,,
"US02079K1079","ALPHABET INC-CL C","71.80",,,
"US02209S1033","ALTRIA GROUP INC","25.20",,,
"US0231351067","AMAZON.COM INC","134.70",,,
"JE00BJ1F3079","AMCOR PLC","21.20",,,
"US0236081024","AMEREN CORPORATION","3.90",,,
"US02376R1023","AMERICAN AIRLINES GROUP INC","9.60",,,
"US0255371017","AMERICAN ELECTRIC POWER","7.70",,,
"US0258161092","AMERICAN EXPRESS CO","8.30",,,
"US0268747849","AMERICAN INTERNATIONAL GROUP","9.70",,,
"US03027X1000","AMERICAN TOWER CORP","6.80",,,
"US0304201033","AMERICAN WATER WORKS CO INC","2.80",,,
"US03076C1062","AMERIPRISE FINANCIAL INC","1.40",,,
"US0311001004","AMETEK INC","3.40",,,
"US0311621009","AMGEN INC","7.80",,,
"US0320951017","AMPHENOL CORP-CL A","17.60",,,
"US0326541051","ANALOG DEVICES INC","7.20",,,
"US03662Q1058","ANSYS INC","1.20",,,
"IE00BLP1HW54","AON PLC-CLASS A","3.10",,,
"US03743Q1085","APA CORP","5.20",,,
"US0378331005","APPLE INC","212.00",,,
"US0382221051","APPLIED MATERIALS INC","12.20",,,
"JE00B783TY65","APTIV PLC","4.00",,,
"BMG0450A1053","ARCH CAPITAL GROUP LTD","5.50",,,
"US0394831020","ARCHER-DANIELS-MIDLAND CO","7.20",,,
"US0404131064","ARISTA NETWORKS INC","3.70",,,
"US3635761097","ARTHUR J GALLAGHER & CO","3.20",,,
"US04621X1081","ASSURANT INC","0.70",,,
"US00206R1023","AT&T INC","105.40",,,
"US0495601058","ATMOS ENERGY CORP","2.20",,,
"US0527691069","AUTODESK INC","3.10",,,
"US0530151036","AUTOMATIC DATA PROCESSING","6.00",,,
"US0533321024","AUTOZONE INC","0.20",,,
"US0534841012","AVALONBAY COMMUNITIES INC","2.00",,,
"US0536111091","AVERY DENNISON CORP","1.10",,,
"US05464C1018","AXON ENTERPRISE INC","1.00",,,
"US05722G1004","BAKER HUGHES CO","14.60",,,
"US0584981064","BALL CORP","4.50",,,
"US0605051046","BANK OF AMERICA CORP","100.00",,,
"US0640581007","BANK OF NEW YORK MELLON CORP","11.00",,,
"US0708301041","BATH & BODY WORKS INC","3.20",,,
"US0718131099","BAXTER INTERNATIONAL INC","7.40",,,
"US0758871091","BECTON DICKINSON AND CO","4.20",,,
"US0846707026","BERKSHIRE HATHAWAY INC-CL B","26.60",,,
"US0865161014","BEST BUY CO INC","2.80",,,
"US0905722072","BIO-RAD LABORATORIES-A","0.30",,,
"US09073M1045","BIO-TECHNE CORP","2.30",,,
"US09062X1037","BIOGEN INC","2.10",,,
"US09247X1019","BLACKROCK INC","2.00",,,
"US09260D1072","BLACKSTONE INC","10.50",,,
"US0970231058","BOEING CO/THE","8.40",,,
"US09857L1089","BOOKING HOLDINGS INC","0.40",,,
"US0997241064","BORGWARNER INC","3.30",,,
"US1011371077","BOSTON SCIENTIFIC CORP","21.60",,,
"US1101221083","BRISTOL-MYERS SQUIBB CO","29.80",,,
"US11135F1012","BROADCOM INC","64.00",,,
"US11133T1034","BROADRIDGE FINANCIAL SOLUTIO","1.70",,,
"US1152361010","BROWN & BROWN INC","3.40",,,
"US1156372096","BROWN-FORMAN CORP-CLASS B","2.60",,,
"US12008R1077","BUILDERS FIRSTSOURCE INC","1.70",,,
"CH1300646267","BUNGE GLOBAL SA","2.00",,,
"US1011211018","BXP INC","2.10",,,
"US12541W2098","C.H. ROBINSON WORLDWIDE INC","1.70",,,
"US1273871087","CADENCE DESIGN SYS INC","4.00",,,
