종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
005930,삼성전자,7143,620726700,602869200,31.19
000660,SK하이닉스,849,180412500,177865500,9.2
005380,현대차,209,54444500,54026500,2.79
105560,KB금융,519,43803600,44011200,2.28
000270,기아,375,44962500,43612500,2.26
068270,셀트리온,220,41338000,41338000,2.14
005490,POSCO홀딩스,102,37383000,37791000,1.95
055550,신한지주,663,36000900,35404200,1.83
035420,NAVER,202,35329800,34784400,1.8
006400,삼성SDI,78,27690000,27885000,1.44
086790,하나금융지주,399,24658200,25017300,1.29
051910,LG화학,69,23011500,23011500,1.19
012330,현대모비스,96,21504000,21456000,1.11
028260,삼성물산,143,21349900,21092500,1.09
207940,삼성바이오로직스,24,20400000,20040000,1.04
035720,카카오,477,19628550,19723950,1.02
066570,LG전자,164,18187600,18335200,0.95
373220,LG에너지솔루션,53,17755000,18311500,0.95
000810,삼성화재,47,17249000,17061000,0.88
316140,우리금융지주,1023,15242700,15212010,0.79
012450,한화에어로스페이스,52,14118000,14638000,0.76
009150,삼성전기,84,14439600,14112000,0.73
033780,KT&G,150,13500000,13560000,0.7
034020,두산에너빌리티,650,13650000,13130000,0.68
402340,SK스퀘어,141,12549000,12408000,0.64
009540,HD한국조선해양,71,12574100,12361100,0.64
259960,크래프톤,44,11968000,12342000,0.64
030200,KT,332,12582800,12317200,0.64
017670,SK텔레콤,224,12073600,12073600,0.62
032830,삼성생명,127,11760200,11811000,0.61
138040,메리츠금융지주,142,11459400,11715000,0.61
003550,LG,141,11421000,11533800,0.6
323410,카카오뱅크,513,11003850,10978200,0.57
010140,삼성중공업,1000,11070000,10550000,0.55
003670,포스코퓨처엠,41,10106500,10537000,0.55
096770,SK이노베이션,88,10199200,9856000,0.51
042700,한미반도체,65,9977500,9815000,0.51
267260,HD현대일렉트릭,31,9455000,9517000,0.49
015760,한국전력,476,9334360,9386720,0.49
018260,삼성에스디에스,57,8840700,8874900,0.46
000100,유한양행,91,8854300,8681400,0.45
010130,고려아연,16,8288000,8320000,0.43
003490,대한항공,385,8508500,8296750,0.43
034730,SK,54,8073000,8100000,0.42
011200,HMM,462,8316000,7969500,0.41
090430,아모레퍼시픽,47,7849000,7670400,0.4
005830,DB손해보험,66,6916800,6982800,0.36
086280,현대글로비스,56,6742400,6669600,0.35
011070,LG이노텍,22,6567000,6545000,0.34
028050,삼성E&A,237,6031650,5925000,0.31
352820,하이브,32,5920000,5840000,0.3
024110,기업은행,411,5749890,5737560,0.3
329180,HD현대중공업,34,5746000,5586200,0.29
034220,LG디스플레이,439,5592860,5531400,0.29
267250,HD현대,68,5487600,5392400,0.28
021240,코웨이,85,5448500,5380500,0.28
010120,LS ELECTRIC,24,5112000,5352000,0.28
036570,엔씨소프트,28,5314400,5294800,0.27
047810,한국항공우주,106,5204600,5204600,0.27
180640,한진칼,71,5055200,4977100,0.26
051900,LG생활건강,14,4956000,4795000,0.25
066970,엘앤에프,38,4681600,4788000,0.25
005070,코스모신소재,34,4508400,4756600,0.25
011790,SKC,30,4587000,4665000,0.24
064350,현대로템,111,4689750,4612050,0.24
071050,한국금융지주,62,4606600,4569400,0.24
161390,한국타이어앤테크놀로지,109,4545300,4474450,0.23
097950,CJ제일제당,12,4554000,4452000,0.23
079550,LIG넥스원,19,4389000,4408000,0.23
009830,한화솔루션,164,4190200,4346000,0.22
010950,S-Oil,63,4315500,4290300,0.22
032640,LG유플러스,423,4221540,4225770,0.22
016360,삼성증권,92,4149200,4163000,0.22
241560,두산밥캣,82,4063100,4038500,0.21
042660,한화오션,130,3958500,3913000,0.2
047050,포스코인터내셔널,69,3822600,3891600,0.2
003230,삼양식품,6,3780000,3816000,0.2
001570,금양,50,3630000,3780000,0.2
011780,금호석유,24,3782400,3660000,0.19
326030,SK바이오팜,42,3624600,3628800,0.19
000720,현대건설,111,3707400,3618600,0.19
175330,JB금융지주,245,3628450,3596600,0.19
004020,현대제철,127,3613150,3556000,0.18
138930,BNK금융지주,400,3456000,3456000,0.18
006260,LS,26,3452800,3419000,0.18
006800,미래에셋증권,433,3399050,3351420,0.17
128940,한미약품,11,3377000,3333000,0.17
010620,HD현대미포,34,3413600,3298000,0.17
078930,GS,68,3315000,3257200,0.17
011170,롯데케미칼,30,3189000,3138000,0.16
001450,현대해상,91,3121300,3094000,0.16
450080,에코프로머티,31,2895400,3003900,0.16
271560,오리온,33,3036000,3003000,0.16
005940,NH투자증권,203,2752680,2754710,0.14
039490,키움증권,20,2778000,2748000,0.14
035250,강원랜드,191,2712200,2674000,0.14
022100,포스코DX,76,2565000,2633400,0.14
251270,넷마블,42,2536800,2524200,0.13
001040,CJ,21,2429700,2457000,0.13
454910,두산로보틱스,29,2369300,2433100,0.13
001440,대한전선,169,2411630,2416700,0.13
081660,휠라홀딩스,59,2427850,2407200,0.12
008770,호텔신라,46,2415000,2382800,0.12
014680,한솔케미칼,13,2316600,2353000,0.12
000150,두산,11,2277000,2266000,0.12
004370,농심,5,2285000,2257500,0.12
012750,에스원,37,2179300,2153400,0.11
302440,SK바이오사이언스,38,2116600,2090000,0.11
272210,한화시스템,106,2068060,2076540,0.11
052690,한전기술,28,2296000,2055200,0.11
036460,한국가스공사,49,2028600,2043300,0.11
204320,HL만도,49,1969800,2021250,0.1
009420,한올바이오파마,54,1944000,1960200,0.1
002380,KCC,6,1983000,1959000,0.1
030000,제일기획,105,1885800,1888950,0.1
112610,씨에스윈드,36,1665000,1825200,0.09
000880,한화,62,1816600,1807300,0.09
139130,DGB금융지주,220,1773200,1775400,0.09
192820,코스맥스,12,2013600,1772400,0.09
017800,현대엘리베이,38,1681500,1748000,0.09
006360,GS건설,97,1745030,1736300,0.09
004170,신세계,11,1745700,1735800,0.09
139480,이마트,30,1728000,1710000,0.09
010060,OCI홀딩스,21,1696800,1671600,0.09
361610,SK아이이테크놀로지,39,1616550,1622400,0.08
000120,CJ대한통운,17,1541900,1584400,0.08
