종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
"KRYZTRSCBX03","CD금리투자KIS TRS 15","20334471.80","20334471",,
"KRYZTRSCC502","CD금리투자KIS TRS 16",,,,
"KRYZTRSCC604","CD금리투자KIS TRS 18",,,,
"KRYZTRSCCD01","CD금리투자KIS TRS 19","23769208.05","23769208",,
"KRYZTRSCCM15","CD금리투자KIS TRS 20","9287197.12","9287197",,
"KRYZTRSCBE03","CD금리투자KIS TRS 3","8022414.51","8022414",,
"KRYZTRSD4701","KIS CD Total Return Index TRS 230407-01","5218955.55","5218955",,
"KRYZTRSD5C03","KIS CD Total Return Index TRS 230512-03",,,,
"KRD010010001","원화현금",,,"42621613","100.00"
"CASH00000001","설정현금액",,,"109253858",
